verified,followers_count,protected,statuses_count,friends_count,notification,profile_background_tile,favourites_count,following,url_contain_name,#_i,#_im,i_am,internet_marketing,#_internet,i_love,#_we,from_the,official_twitter,the_official,i,internet,my,marketing,im,business,from,twitter,official,news,by,follow,class
False,15154,False,16829,9911,False,False,598,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,P
False,10634,False,7931,496,None,False,86,None,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,P
False,10757,False,332,35,False,False,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,O
False,11027,False,2285,219,None,False,18,None,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,O
False,10343,False,8200,981,None,False,150,None,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,P
False,12975,False,807,113,False,True,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,P
False,13156,False,6347,504,False,True,959,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,P
True,99278,False,21898,103423,False,True,17,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,P
False,13700,False,661,214,None,True,45,None,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,O
False,11096,False,7838,1911,None,False,307,None,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,P
False,14415,False,4813,484,False,True,8,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,P
True,48304,False,7260,16,False,False,2,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,P
False,12923,False,9367,369,None,False,1834,None,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,P
False,14854,False,8772,6170,False,False,9,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,P
